merge_code,date,time block,"planting? 0 = N, 1 = Y",site_code,%corn,mortality,DBT_sample_id,DBT_dinotefuran,DBT_nitenpyram,DBT_thiamethoxam,DBT_clothianidin,DBT_imidacloprid,DBT_acetamiprid,DBT_thiacloprid,Pollen sample_id,FP_dinotefuran,FP_nitenpyram,FP_thiamethoxam,FP_clothianidin,FP_imidacloprid,FP_acetamiprid,FP_thiacloprid,,,,,,,,,,,,,,,,,,,
2015FSR508,05/08/2015,4,1,FSR,49,-0.037513187,DBT_33,< 0.122,< 0.206,34.59,< 5.024,< 0.064,< 0.556,< 0.182,FP_33,< 0.040,< 0.434,1.387,2.223,1.49,< 0.091,0.392,,,,,,,,,,,,,,,,,,,
2015FSR511,05/11/2015,5,0,FSR,49,-0.362817519,DBT_43,< 0.122,< 0.206,8.98,< 5.024,< 0.064,< 0.556,< 0.182,FP_43,< 0.040,< 0.434,12.858,17.014,27.844,< 0.091,0.522,,,,,,,,,,,,,,,,,,,
2015FSR514,05/14/2015,6,0,FSR,49,-0.278269481,DBT_53,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,5.94,FP_53,0.062,< 0.061,3.125,< 0.938,1.238,< 0.047,2.16E-01,,,,,,,,,,,,,,,,,,,
2015FSR519,05/19/2015,7,0,FSR,49,-0.514237397,DBT_63,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,13.61,< 0.182,FP_63,0.092,0.652,1.072,1.297,1.67,0.763,0.477,,,,,,,,,,,,,,,,,,,
2015FSR523,05/23/2015,8,0,FSR,49,0.19411609,DBT_72,< 0.122,< 0.206,55.92,< 5.024,< 0.064,< 0.556,< 0.182,FP_73,< 0.029,0.165,0.87,< 0.938,2.638,0.41,0.567,,,,,,,,,,,,,,,,,,,
2015FSR527,05/27/2015,9,0,FSR,49,-0.846928833,DBT_83,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,1.72,< 0.182,FP_83,< 0.029,1.311,< 0.057,< 0.938,10.658,< 0.047,2.107,,,,,,,,,,,,,,,,,,,
2015FSR603,06/03/2015,10,0,FSR,49,-0.880136701,DBT_93,< 0.122,< 0.206,< 2.347,316.19,< 0.064,< 0.556,< 0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015HR429,04/29/2015,1,0,HR,30,-0.128146394,DBT_4,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_4,0.976,0.443,< 0.202,0.819,< 0.148,< 0.091,1.037,,,,,,,,,,,,,,,,,,,
2015HR502,05/02/2015,2,1,HR,30,-0.320139388,DBT_14,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,1.92,4.1,FP_14,< 0.040,0.985,< 0.202,12.714,0.217,0.268,< 0.061,,,,,,,,,,,,,,,,,,,
2015HR505,05/05/2015,3,1,HR,30,0.293593088,DBT_24,< 0.122,7.84,12.55,< 5.024,< 0.064,< 0.556,< 0.182,FP_24,< 0.040,< 0.434,3.28,17.752,1.411,< 0.091,< 0.061,,,,,,,,,,,,,,,,,,,
2015HR508,05/08/2015,4,1,HR,30,2.904089138,DBT_34,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_34,< 0.040,< 0.434,15.391,34.812,2.543,2.23E-01,< 0.061,,,,,,,,,,,,,,,,,,,
2015HR511,05/11/2015,5,0,HR,30,0.090982417,DBT_44,< 0.122,93.47,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_44,< 0.040,< 0.434,2.387,8.788,1.741,< 0.091,0.131,,,,,,,,,,,,,,,,,,,
2015HR514,05/14/2015,6,0,HR,30,-0.188458747,DBT_54,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_54,< 0.029,0.424,1.185,1.775,1.079,< 0.047,0.229,,,,,,,,,,,,,,,,,,,
2015HR519,05/19/2015,7,0,HR,30,-0.536290639,DBT_64,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_64,< 0.029,1.004,0.701,< 0.938,4.039,< 0.047,0.785,,,,,,,,,,,,,,,,,,,
2015HR523,05/23/2015,8,0,HR,30,-0.563032752,DBT_73,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_74,0.609,1.003,2.416,< 0.938,10.628,2.823,3.19,,,,,,,,,,,,,,,,,,,
2015HR527,05/27/2015,9,0,HR,30,-0.736009555,DBT_84,< 0.122,< 0.206,< 2.347,642,< 0.064,< 0.556,< 0.182,FP_84,< 0.029,0.311,< 0.057,7.52,4.81,< 0.047,1.489,,,,,,,,,,,,,,,,,,,
