merge_code,date,time.block,planting,site_code,per_corn,mortality,DBT_sample_id,DBT_dinotefuran,DBT_nitenpyram,DBT_thiamethoxam,DBT_clothianidin,DBT_imidacloprid,DBT_acetamiprid,DBT_thiacloprid,Pollen.sample_id,FP_dinotefuran,FP_nitenpyram,FP_thiamethoxam,FP_clothianidin,FP_imidacloprid,FP_acetamiprid,FP_thiacloprid,DBT_dinotefuran_detected,DBT_nitenpyram_detected,DBT_thiamethoxam_detected,DBT_clothianidin_detected,DBT_imidacloprid_detected,DBT_acetamiprid_detected,DBT_thiacloprid_detected,FP_dinotefuran_detected,FP_nitenpyram_detected,FP_thiamethoxam_detected,FP_clothianidin_detected,FP_imidacloprid_detected,FP_acetamiprid_detected,FP_thiacloprid_detected,DBT_any_detected,FP_any_detected,DBT_total_neonic,FP_total_neonic
2015FSR429,4/29/2015,1,no,FSR,49,-0.608603293,DBT_3,0.122,0.206,2.347,5.024,0.064,0.556,0.182,FP_3,0.04,0.434,0.202,2.832,0.718,0.213,0.296,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,8.501,4.735
2015FSR502,5/2/2015,2,yes,FSR,49,2.182164845,DBT_13,0.122,0.206,2.347,5.024,0.064,0.556,0.182,FP_13,0.04,0.434,NA,NA,3.567,0.091,0.16,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,8.501,142.654
2015FSR505,5/5/2015,3,yes,FSR,49,2.886170255,DBT_23,0.122,0.206,18.82,5.024,0.064,0.556,0.182,FP_23,0.04,0.434,19.051,46.935,4.645,0.631,0.825,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,24.974,72.561
2015FSR508,5/8/2015,4,yes,FSR,49,-0.037513187,DBT_33,0.122,0.206,34.59,5.024,0.064,0.556,0.182,FP_33,0.04,0.434,1.387,2.223,1.49,0.091,0.392,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,40.744,6.057
2015FSR511,5/11/2015,5,no,FSR,49,-0.362817519,DBT_43,0.122,0.206,8.98,5.024,0.064,0.556,0.182,FP_43,0.04,0.434,12.858,17.014,27.844,0.091,0.522,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,15.134,58.803
2015FSR514,5/14/2015,6,no,FSR,49,-0.278269481,DBT_53,0.122,0.206,2.347,5.024,0.064,0.556,5.94,FP_53,0.062,0.061,3.125,0.938,1.238,0.047,0.216,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,14.259,5.687
2015FSR519,5/19/2015,7,no,FSR,49,-0.514237397,DBT_63,0.122,0.206,2.347,5.024,0.064,13.61,0.182,FP_63,0.092,0.652,1.072,1.297,1.67,0.763,0.477,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,21.555,6.023
2015FSR523,5/23/2015,8,no,FSR,49,0.19411609,DBT_72,0.122,0.206,55.92,5.024,0.064,0.556,0.182,FP_73,0.029,0.165,0.87,0.938,2.638,0.41,0.567,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,62.074,5.617
2015FSR527,5/27/2015,9,no,FSR,49,-0.846928833,DBT_83,0.122,0.206,2.347,5.024,0.064,1.72,0.182,FP_83,0.029,1.311,0.057,0.938,10.658,0.047,2.107,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,9.665,15.147
2015FSR603,6/3/2015,10,no,FSR,49,-0.880136701,DBT_93,0.122,0.206,2.347,316.19,0.064,0.556,0.182,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,319.667,NA
2015HR429,4/29/2015,1,no,HR,30,-0.128146394,DBT_4,0.122,0.206,2.347,5.024,0.064,0.556,0.182,FP_4,0.976,0.443,0.202,0.819,0.148,0.091,1.037,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,8.501,3.716
2015HR502,5/2/2015,2,yes,HR,30,-0.320139388,DBT_14,0.122,0.206,2.347,5.024,0.064,1.92,4.1,FP_14,0.04,0.985,0.202,12.714,0.217,0.268,0.061,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,13.783,14.487
2015HR505,5/5/2015,3,yes,HR,30,0.293593088,DBT_24,0.122,7.84,12.55,5.024,0.064,0.556,0.182,FP_24,0.04,0.434,3.28,17.752,1.411,0.091,0.061,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,26.338,23.069
2015HR508,5/8/2015,4,yes,HR,30,2.904089138,DBT_34,0.122,0.206,2.347,5.024,0.064,0.556,0.182,FP_34,0.04,0.434,15.391,34.812,2.543,0.223,0.061,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,8.501,53.504
2015HR511,5/11/2015,5,no,HR,30,0.090982417,DBT_44,0.122,93.47,2.347,5.024,0.064,0.556,0.182,FP_44,0.04,0.434,2.387,8.788,1.741,0.091,0.131,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,101.765,13.612
2015HR514,5/14/2015,6,no,HR,30,-0.188458747,DBT_54,0.122,0.206,2.347,5.024,0.064,0.556,0.182,FP_54,0.029,0.424,1.185,1.775,1.079,0.047,0.229,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,8.501,4.768
2015HR519,5/19/2015,7,no,HR,30,-0.536290639,DBT_64,0.122,0.206,2.347,5.024,0.064,0.556,0.182,FP_64,0.029,1.004,0.701,0.938,4.039,0.047,0.785,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,8.501,7.543
2015HR523,5/23/2015,8,no,HR,30,-0.563032752,DBT_73,0.122,0.206,2.347,5.024,0.064,0.556,0.182,FP_74,0.609,1.003,2.416,0.938,10.628,2.823,3.19,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,8.501,21.607
2015HR527,5/27/2015,9,no,HR,30,-0.736009555,DBT_84,0.122,0.206,2.347,642,0.064,0.556,0.182,FP_84,0.029,0.311,0.057,7.52,4.81,0.047,1.489,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,645.477,14.263
2015HR603,6/3/2015,10,no,HR,30,-0.758052217,DBT_94,0.122,0.206,2.347,5.024,0.064,0.556,2.7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,11.019,NA
2015IB429,4/29/2015,1,no,IB,22,-0.518054002,DBT_5,0.122,0.206,2.347,148.91,0.064,0.556,0.182,FP_5,0.04,0.434,2.641,3.747,3.611,0.484,0.061,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,152.387,11.018
2015IB502,5/2/2015,2,yes,IB,22,-0.17986137,DBT_15,0.122,0.206,8.22,26.63,0.064,1.26,0.182,FP_15,0.286,0.593,1.547,5.086,2.259,0.559,0.694,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,36.684,11.024
2015IB505,5/5/2015,3,yes,IB,22,0.923349497,DBT_25,0.122,0.206,2.347,5.024,0.064,0.556,2.59,FP_25,0.04,0.434,3.213,10.927,0.797,0.091,0.143,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,10.909,15.645
2015IB508,5/8/2015,4,yes,IB,22,0.959975548,DBT_35,0.122,0.206,55.07,5.024,0.064,0.556,4.78,FP_35,0.04,0.787,6.737,7.984,3.378,0.753,0.742,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,65.822,20.421
2015IB511,5/11/2015,5,no,IB,22,0.940434747,DBT_45,0.122,0.206,2.347,5.024,0.064,0.556,0.182,FP_45,0.04,0.434,2.463,9.038,1.618,0.091,0.251,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,8.501,13.935
2015IB514,5/14/2015,6,no,IB,22,-0.647245016,DBT_55,0.122,0.206,2.347,5.024,0.064,0.556,12.11,FP_55,0.029,0.45,14.373,1.371,0.505,0.069,0.248,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,20.429,17.045
2015IB519,5/19/2015,7,no,IB,22,-0.691772349,DBT_65,0.122,0.206,2.347,113.83,0.064,0.556,14.39,FP_65,0.029,0.254,1.822,0.938,1.42,0.047,0.385,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,131.515,4.895
