original_order,osu_run,sample_id,date,site_code,site_abbrv,site,initial_weight,final_weight,units,media,dinotefuran,nitenpyram,thiamethoxam,clothianidin,imidacloprid,acetamiprid,thiacloprid
41,41,FP_41,05/11/2015,BG,BG,Badger,3,1.99,ng/g,field_pollen,< 0.040,< 0.434,11.7,14.2,4.214,0.382,1.357
42,42,FP_42,05/11/2015,DS,DS,Don Scott,3,1.99,ng/g,field_pollen,< 0.040,< 0.434,< 0.202,1.81,1.456,0.204,2.80E-01
43,43,FP_43,05/11/2015,FSR,FSR,FSR,3,2.01,ng/g,field_pollen,< 0.040,< 0.434,12.858,17.014,27.844,< 0.091,0.522
44,44,FP_44,05/11/2015,HR,HR,Honeyrun,3,2,ng/g,field_pollen,< 0.040,< 0.434,2.387,8.788,1.741,< 0.091,0.131
45,45,FP_45,05/11/2015,IB,IB,IB1,3,2.04,ng/g,field_pollen,< 0.040,< 0.434,2.463,9.038,1.618,< 0.091,0.251
46,46,FP_46,05/11/2015,MC,MC,Mechanicsburg,3,2,ng/g,field_pollen,< 0.040,< 0.434,1.673,1.772,1.889,0.239,0.411
47,47,FP_47,05/11/2015,MM,MM,Moorman,3,2,ng/g,field_pollen,< 0.040,< 0.434,1.44,3.349,1.212,1.64E-01,2.46E-01
48,48,FP_48,05/11/2015,SC,SC,Scioto Darby,3,2.02,ng/g,field_pollen,< 0.040,< 0.434,5.983,5.194,4.193,< 0.091,< 0.061
49,49,FP_49,05/11/2015,TV,TV,Three Vs,3,2.02,ng/g,field_pollen,< 0.040,< 0.434,1.644,19.518,3.58,< 0.091,< 0.061
50,50,FP_50,05/11/2015,WB,WB,WB,3,2,ng/g,field_pollen,< 0.040,< 0.434,5.287,9.744,3.478,0.216,0.614
51,51,FP_51,05/14/2015,BG,BG,Badger,3,2,ng/g,field_pollen,< 0.029,0.093,< 0.057,< 0.938,2.016,< 0.047,0.042
52,52,FP_52,05/14/2015,DS,DS,Don Scott,3,2.02,ng/g,field_pollen,< 0.029,0.291,< 0.057,< 0.938,0.895,2.24E-01,1.97E-01
53,53,FP_53,05/14/2015,FSR,FSR,FSR,3,2,ng/g,field_pollen,0.062,< 0.061,3.125,< 0.938,1.238,< 0.047,2.16E-01
54,54,FP_54,05/14/2015,HR,HR,Honeyrun,3,2.01,ng/g,field_pollen,< 0.029,0.424,1.185,1.775,1.079,< 0.047,0.229
55,55,FP_55,05/14/2015,IB,IB,IB1,3,2,ng/g,field_pollen,< 0.029,0.45,14.373,1.371,0.505,0.069,0.248
56,56,FP_56,05/14/2015,MC,MC,Mechanicsburg,3,1.99,ng/g,field_pollen,< 0.029,< 0.061,3.221,5.3,3.03,< 0.047,0.28
57,57,FP_57,05/14/2015,MM,MM,Moorman,3,2,ng/g,field_pollen,< 0.029,< 0.061,2.81,2.395,6.713,< 0.047,1.751
58,58,FP_58,05/14/2015,SC,SC,Scioto Darby,3,1.99,ng/g,field_pollen,< 0.029,< 0.061,< 0.057,< 0.938,1.243,< 0.047,0.168
59,59,FP_59,05/14/2015,TV,TV,Three Vs,3,2,ng/g,field_pollen,< 0.029,< 0.061,0.615,< 0.938,0.761,< 0.047,0.317
60,60,FP_60,05/14/2015,WB,WB,WB,3,1.99,ng/g,field_pollen,< 0.029,0.757,2.546,1.809,2.051,2.30E-01,0.249
61,61,FP_61,05/19/2015,BG,BG,Badger,3,1.5,ng/g,field_pollen,0.642,< 0.061,4.153,2.285,3.067,0.926,0.304
62,62,FP_62,05/19/2015,DS,DS,Don Scott,3,1.51,ng/g,field_pollen,0.081,< 0.061,0.611,< 0.938,1.153,0.129,0.278
63,63,FP_63,05/19/2015,FSR,FSR,FSR,3,1.5,ng/g,field_pollen,0.092,0.652,1.072,1.297,1.67,0.763,0.477
64,64,FP_64,05/19/2015,HR,HR,Honeyrun,3,1.49,ng/g,field_pollen,< 0.029,1.004,0.701,< 0.938,4.039,< 0.047,0.785
65,65,FP_65,05/19/2015,IB,IB,IB1,3,1.49,ng/g,field_pollen,< 0.029,0.254,1.822,< 0.938,1.42,< 0.047,0.385
66,66,FP_66,05/19/2015,MC,MC,Mechanicsburg,3,1.5,ng/g,field_pollen,< 0.029,< 0.061,0.368,< 0.938,0.562,0.277,0.145
67,67,FP_67,05/19/2015,MM,MM,Moorman,3,1.49,ng/g,field_pollen,< 0.029,< 0.061,< 0.057,1.701,3.095,< 0.047,0.359
68,68,FP_68,05/19/2015,SC,SC,Scioto Darby,3,1.5,ng/g,field_pollen,0.116,0.645,1.661,< 0.938,3.52,< 0.047,0.467
69,69,FP_69,05/19/2015,TV,TV,Three Vs,3,1.49,ng/g,field_pollen,< 0.029,0.22,1.517,< 0.938,1.22,< 0.047,0.364
70,70,FP_70,05/19/2015,WB,WB,WB,3,1.49,ng/g,field_pollen,< 0.029,< 0.061,3.384,0.938,2.161,0.083,0.442
71,71,FP_71,05/23/2015,BG,BG,Badger,3,1.98,ng/g,field_pollen,< 0.029,0.811,0.659,< 0.938,3.891,0.548,0.804
72,72,FP_72,05/23/2015,DS,DS,Don Scott,3,1.98,ng/g,field_pollen,< 0.029,0.171,0.598,< 0.938,0.527,0.477,0.398
73,73,FP_73,05/23/2015,FSR,FSR,FSR,3,2,ng/g,field_pollen,< 0.029,0.165,0.87,< 0.938,2.638,0.41,0.567
74,74,FP_74,05/23/2015,HR,HR,Honeyrun,3,2,ng/g,field_pollen,0.609,1.003,2.416,< 0.938,10.628,2.823,3.19
75,75,FP_75,05/23/2015,IB,IB,IB1,3,2.01,ng/g,field_pollen,0.08,< 0.061,0.455,< 0.938,0.834,0.114,0.072
76,76,FP_76,05/23/2015,MC,MC,Mechanicsburg,3,2,ng/g,field_pollen,0.33,< 0.061,< 0.057,7.236,2.705,0.493,0.897
77,77,FP_77,05/23/2015,MM,MM,Moorman,3,1.99,ng/g,field_pollen,< 0.029,0.559,< 0.057,2.157,4.399,1.04,1.889
78,78,FP_78,05/23/2015,SC,SC,Scioto Darby,3,2,ng/g,field_pollen,7.888,0.784,13.305,4.115,25.38,6.141,6.393
79,79,FP_79,05/23/2015,TV,TV,Three Vs,3,2,ng/g,field_pollen,< 0.029,1.418,3.801,1.221,4.223,0.594,0.814
80,80,FP_80,05/23/2015,WB,WB,WB,3,2.01,ng/g,field_pollen,< 0.029,4.238,3.484,2.677,2.106,< 0.047,0.433
81,81,FP_81,05/27/2015,BG,BG,Badger,3,2,ng/g,field_pollen,0.35,0.691,2.699,< 0.938,1.519,0.434,0.204
