"site_code","per_corn","daily_mortality_plt","daily_mort_may","mean_thi_may","mean_clo_may","mean_ct_may","mean_thi_planting","mean_clo_planting","mean_ct_planting","seams_relchg_2","seams_relchg_3","seams_relchg_total","bees_relchg_1","bees_relchg_2","bees_relchg_3","bees_relchg_total","capped_relchg_1","capped_relchg_2","capped_relchg_3","capped_relchg_total","open_relchg_1","open_relchg_2","open_relchg_3","open_relchg_total","pollen_relchg_1","pollen_relchg_2","pollen_relchg_3","pollen_relchg_total","nectar_relchg_1","nectar_relchg_2","nectar_relchg_3","nectar_relchg_total"
"BG",22,1.051359775,0.119948108,6.08166666666667,5.86677777777778,11.9484444444444,11.755,9.893,21.648,-40.7407407407407,53.125,-19.672131147541,-25.1626898047722,-29.2753623188406,143.852459016393,29.0672451193059,-60.3846153846154,-10.6796116504854,46.7391304347826,-48.0769230769231,-94.6428571428571,375,98.2456140350877,-49.5535714285714,-48.2142857142857,74.7126436781609,52.6315789473684,38.0952380952381,302.158273381295,-77.8175313059034,126.612903225806,102.158273381295
"DS",1,0.991587489,0.161895245,1.49077777777778,4.08044444444444,5.57122222222222,2.81466666666667,7.469,10.2836666666667,-72,42.8571428571429,-37.5,51.7857142857143,-64.9411764705882,61.0738255033557,-14.2857142857143,29.1666666666667,-88.3870967741935,222.222222222222,-51.6666666666667,9.23076923076923,-92.9577464788732,520,-52.3076923076923,-19.3798449612403,-34.6153846153846,-23.5294117647059,-59.6899224806202,201.176470588235,-25.390625,-56.5445026178011,-2.3529411764706
"FSR",49,1.676940638,0.173394478,4.82775,9.139375,13.967125,10.219,24.579,34.798,89.4736842105263,0,140,21.8106995884774,189.358108108108,-23.4676007005254,169.753086419753,175.187969924812,46.1748633879781,-35.5140186915888,159.398496240602,94.5945945945946,31.4814814814815,-39.0845070422535,55.8558558558559,184.615384615385,102.702702702703,214.666666666667,1715.38461538462,93.4615384615385,144.135188866799,74.6742671009772,725
"HR",30,0.959180946,0.005853495,2.869,9.56177777777778,12.4307777777778,6.291,21.7593333333333,28.0503333333333,38.4615384615385,22.2222222222222,120,-2.8125,109.967845659164,45.0995405819296,196.09375,60.9022556390977,48.1308411214953,-15.7728706624606,100.751879699248,44.0191387559809,-1.32890365448505,27.6094276094276,81.3397129186603,20,161.111111111111,68.5106382978723,428,243.220338983051,-20.3703703703704,30.5426356589147,256.779661016949
"IB",22,0.567821225,0.055341812,3.79677777777778,4.55188888888889,8.34866666666667,3.83233333333333,7.999,11.8313333333333,-4.8780487804878,46.1538461538462,83.8709677419355,-19.2982456140351,25.2173913043478,169.791666666667,172.631578947368,-51.6129032258064,218.666666666667,-33.8912133891213,1.93548387096775,-59.0277777777778,55.9322033898305,59.7826086956522,2.08333333333333,4.25531914893617,151.020408163265,64.2276422764228,329.787234042553,670.666666666667,-21.4532871972318,90.7488986784141,1054.66666666667
"MB",19,0.630509924,0.093388841,2.08888888888889,6.13911111111111,8.228,3.985,10.596,14.581,30.188679245283,-7.2463768115942,128.571428571429,70.3703703703704,241.304347826087,-21.7975937721161,354.732510288066,150.617283950617,42.3645320197044,-33.9100346020761,135.802469135802,58.6538461538461,2.12121212121212,-20.4747774480712,28.8461538461539,2.29885057471265,258.426966292135,-10.3448275862069,228.735632183908,212.582781456954,19.4915254237288,26.7730496453901,373.509933774834
"MO",39,0.890885121,0.116809071,1.49877777777778,6.25744444444444,7.75622222222222,2.60466666666667,13.96,16.5646666666667,24.6753246753247,3.125,115.217391304348,210.602409638554,18.7742435996897,-6.59699542782495,244.578313253012,44.3786982248521,46.7213114754098,-43.7150837988827,19.2307692307692,-2.8169014084507,110.628019323671,-16.9724770642202,69.9530516431925,328.070175438596,42.2131147540984,27.6657060518732,677.19298245614,145.539906103286,92.3518164435946,128.727634194831,980.281690140845
"SC",8,0.557895802,0.085869496,3.20933333333333,8.60355555555556,11.8128888888889,2.53966666666667,21.5636666666667,24.1033333333333,21.2121212121212,-14.1666666666667,13.1868131868132,8.62697448359659,11.8568232662192,38.4,68.1652490886999,13.8743455497382,9.42528735632184,-17.6470588235294,2.61780104712041,2.08333333333334,-3.20699708454811,-30.421686746988,-31.25,39.4052044609665,27.7333333333333,10.8559498956159,97.3977695167286,109.513742071882,-23.8143289606458,128.079470198676,264.059196617336
"TV",31,0.951703623,0.112411043,3.59666666666667,9.57266666666667,13.1693333333333,7.036,20.28,27.316,85.7142857142857,23.0769230769231,60,-47.4006116207951,104.651162790698,28.4090909090909,38.2262996941896,5400,70.9090909090909,-85.1063829787234,1300,NA,23.9130434782609,3.50877192982456,NA,43.4782608695652,-18.1818181818182,162.962962962963,208.695652173913,127.586206896552,-18.1818181818182,259.259259259259,568.965517241379
"WB",30,0.328982,0.090912312,6.39466666666667,6.26044444444444,12.6551111111111,11.3863333333333,11.296,22.6823333333333,21.5686274509804,-6.45161290322581,61.1111111111111,15.9638554216867,288.831168831169,-33.8009352037408,198.493975903614,125,12.962962962963,-23.7704918032787,93.75,37.0731707317073,-32.0284697508897,-28.2722513089005,-33.1707317073171,22.680412371134,54.6218487394958,93.4782608695652,267.010309278351,130.091185410334,65.2575957727873,35.3317346123102,414.589665653496
